"allS";"sdAllS";"allI";"sdAllI";"allR";"sdAllR"
"1";100;0;0;0;0;0
"2";100;0;0;0;0;0
"3";99.0024310503814;0;0.997568949618577;0;0;0
"4";98.6838796210914;0.119617099716055;1.22390812306145;0.123786706151482;0.0922122558470953;0.0254266927455832
"5";95.9007460809791;0.763544213886634;3.88129767792774;0.757815888666218;0.209573308743398;0.0374377824804213
"6";91.935619079554;1.29547456836897;7.47757565596446;1.23096221592578;0.586805264481516;0.110961622143521
"7";86.9226255344119;1.73020550356752;11.7696370190293;1.57030258727782;1.29935451420907;0.193744649336917
"8";81.8509514628217;2.09361316290393;15.6593176293067;1.83621471338914;2.48134797552184;0.320414146385843
"9";77.0978288205214;2.25638350543372;18.8615977869059;1.87314318332918;4.03219046022299;0.462838724856968
"10";72.7973845251069;2.398874440159;21.2926481683293;1.86523164656555;5.90996730656384;0.613845909599222
"11";69.0921284265236;2.4470598446091;22.8434906530304;1.74198591174488;8.06438092044597;0.802047527843486
"12";65.9317629306732;2.2958143817702;23.7656132115014;1.55895610335823;10.2942409254757;0.912710001606283
"13";63.3162880375555;2.20087755257426;23.966803587895;1.40564994431782;12.7169083745494;1.07741700352635
"14";61.1534914913237;2.13843308308962;23.7572302791516;1.34913893637329;15.080895297175;1.1722527169332
"15";59.3595439684802;2.08990081950024;23.1368932852712;1.28935902331498;17.5035627462486;1.21171990990547
"16";57.8841478749266;2.03877598887432;22.3153659149971;1.22014027846517;19.8004862100763;1.3123619429942
"17";56.7189202783134;2.01839301258865;21.2255847095314;1.18993790231678;22.0554950121553;1.3311324714652
"18";55.7716489227932;2.02351970347138;20.0687400452678;1.16257129622667;24.159611031939;1.43239470898899
"19";55.0339508760164;2.02693487061982;18.794534328108;1.08038678627703;26.1715147958756;1.50433473110093
"20";54.4219968144857;2.05352216535501;17.5538603403471;1.06350264918576;28.0241428451672;1.4962473826938
"21";53.9106379411518;2.03090560742326;16.2796546231872;0.985443165805005;29.8013245033113;1.53640860335936
"22";53.525023053064;2.02079539330418;15.047363567776;0.937981541233358;31.4192304468103;1.55221081509762
"23";53.1813228267248;2.02348355821951;13.8905189035125;0.906388040406731;32.919775337413;1.57420549394371
"24";52.921451923883;2.04585604329987;12.7588230362981;0.898784593193122;34.3197250398189;1.59332109488467
"25";52.6951127504401;2.04405336144331;11.7277223572806;0.860719283084756;35.5687819599296;1.59328714521777
"26";52.5106882387459;2.03247921023232;10.7469192723615;0.77346362818826;36.7340095565429;1.63987198509343
"27";52.3514125241009;2.03694162074014;9.81641378154078;0.77078016552257;37.8321736943583;1.64835524997917
"28";52.2089026741554;2.03855737428388;8.97812054656719;0.738390116258517;38.8045938469277;1.65043177300708
"29";52.0999245536089;2.04218221438176;8.19850783804175;0.693154566398492;39.7015676083494;1.68566723184842
"30";52.0077122977618;2.04488752767976;7.48595858831419;0.648554197478969;40.5063291139241;1.71078263825981
