"allS";"sdAllS";"allI";"sdAllI";"allR";"sdAllR"
"1";100;0;0;0;0;0
"2";100;0;0;0;0;0
"3";99.0697674418605;0;0.930232558139535;0;0;0
"4";98.1395348837209;0.589780415241747;1.3953488372093;0.553941782750121;0;0.190879693411191
"5";96.7441860465116;1.91757511043917;2.7906976744186;1.82587177757439;0;0.383989743014836
"6";94.8837209302326;3.93190161050428;4.65116279069767;3.48804568036295;0.465116279069767;0.705787184496377
"7";93.0232558139535;5.24506868357616;6.04651162790698;4.51174147164923;0.930232558139535;0.996421252769856
"8";89.7674418604651;7.87635368843673;8.83720930232558;6.71695002700704;1.3953488372093;1.38387777723114
"9";86.9767441860465;10.0076541257406;10.6976744186047;8.4026031851062;2.32558139534884;1.87797755380068
"10";83.2558139534884;12.0532960106846;13.0232558139535;9.69619054716464;3.25581395348837;2.6157962290751
"11";80;13.5331212285221;15.3488372093023;10.1560228873366;4.65116279069767;3.74798912809801
"12";76.7441860465116;14.856462186633;17.6744186046512;10.6440837437578;5.58139534883721;4.61300134290636
"13";73.953488372093;15.9871536199771;18.1395348837209;10.6528516563915;7.90697674418605;5.90185689703278
"14";71.6279069767442;16.6312490756733;18.6046511627907;10.901783336071;9.76744186046512;6.64366054964032
"15";69.3023255813954;17.3073392664866;19.0697674418605;10.8051648260236;11.1627906976744;7.58596703815028
"16";67.4418604651163;17.7286258858139;19.5348837209302;10.6393760313469;13.0232558139535;8.4901240625895
"17";65.5813953488372;18.3531811622482;19.5348837209302;10.8134599326703;14.8837209302326;9.23784260002106
"18";63.7209302325581;18.8930372373808;19.0697674418605;11.162382693482;16.7441860465116;9.79883629788202
"19";62.3255813953488;19.5572961132192;18.6046511627907;10.7813237467564;18.6046511627907;10.396456393508
"20";60.9302325581395;20.1225784492294;18.1395348837209;10.2808197583207;20.9302325581395;11.5744179775314
"21";60.4651162790698;20.4858440707896;16.7441860465116;10.124611433637;22.3255813953488;12.2411370246035
"22";60;20.7320963063414;16.2790697674419;9.80339596990596;23.7209302325581;12.7639867976549
"23";59.5348837209302;20.7861078890727;14.8837209302326;8.98301415343776;25.1162790697674;13.2674045828845
"24";59.5348837209302;20.831413667689;13.4883720930233;8.09271373512983;26.5116279069767;14.2116269155266
"25";59.5348837209302;20.9436105756544;12.5581395348837;7.53672703626541;27.906976744186;14.6385094278917
"26";59.5348837209302;20.919839660968;11.1627906976744;6.87465081105033;29.3023255813954;15.2621714072368
"27";59.0697674418605;21.0213032964258;10.6976744186047;6.25677168664029;30.2325581395349;15.7390949066231
"28";59.0697674418605;21.0322415562263;9.30232558139535;5.27494055560187;31.1627906976744;16.54944210673
"29";59.0697674418605;21.0409014886012;8.37209302325581;4.61497550571336;32.5581395348837;17.1736041802109
"30";59.0697674418605;21.0097225751781;7.44186046511628;4.07684294892033;33.0232558139535;17.5919450516247
"31";59.0697674418605;21.0097225751781;6.51162790697674;3.59161776886172;33.953488372093;17.9906484362756
